Port_IDs,total_realized_profit,total_fees_paid,total_trades,avg_trade_size,profit_rank
3941019213896463617,4234.08779003,-210.91510442,112,7726.476180446429,44.0
3942630767220672256,6611.89848042,-568.49996591,4969,243.54852309209096,26.0
3943533600390906881,2361.42457205,-90.03164169,1759,126.55262206424105,93.0
3944088772635000577,7581.4919834,-516.77836712,6063,176.40756362003958,19.0
3944239644144231424,-1187.89097568,-249.27085293,858,1114.7067688482518,148.0
3944658614777849089,2074.44997996,-34.71080578,45,2212.4922568888887,102.0
3946087913459823360,-40.66724167,-36.66945545,6085,12.052413461824157,143.0
3949214983441029120,1317.57755896,-197.95382648,4530,87.39683589119205,126.0
3949329502284748801,425.96505788999997,-25.84426696,384,134.82431096640624,138.0
3951723256343550465,5260.02286389,-1281.5407654800001,3447,761.1369392364954,35.0
3952087967771302912,1032.6052598600002,-84.75154173,172,985.4830471511627,131.0
3953433416230728705,4924.76177998,-341.37774279,527,2287.8264999240987,36.0
3953764659057081857,6048.86608919,-811.69953844,583,2795.3002341852484,28.0
3956048468100538880,1373.56489,-61.61908537,28,4401.363242857143,123.0
3956076827719377409,16790.01223802,-640.4672937,3916,415.3669367705312,7.0
3957509601040585217,3174.1803667200006,-462.67533381,1113,885.4454118508535,61.0
3960874214179953664,19567.47128569,-1959.55185082,2391,3507.9013029499793,4.0
3962024093501274881,9314.494060179999,-2807.69241408,1273,5014.8204598821685,17.0
3966142151544441601,4883.80077594,-467.87752874,1932,831.9009244513458,37.0
3975304792994095360,2536.0810463,-319.85038381,2438,271.4217925259639,81.0
3975392755164484097,2330.27031414,-594.23660388,1829,820.748048927884,96.0
3976088733682659585,5901.15009982,-182.41690753,2814,529.395554438344,29.0
3977078013600312321,4622.3514376,-1230.78203072,5018,497.0133787629533,39.0
3977116548751698176,603.9805007599999,-1105.80746499,1624,1365.7684641769704,135.0
3977234346014419201,2427.29283086,-29.58335575,83,712.8519528313253,87.0
3978449781300392193,5888.6560088,-1094.99418808,784,2946.648719298469,30.0
3981810242465907713,2836.47282999,-109.06126443,105,2443.286653047619,72.0
3983074113875692800,2424.82951996,-31.33652964,43,2074.0196688372093,88.0
3986814617275053313,16337.46188064,-631.749108,3554,527.3947716698931,8.0
3987739404272887297,12464.6063154,-1081.01571903,6050,369.87719724947107,11.0
3988071780777702657,3424.4699222,-275.97240214,2385,400.31445484637317,55.0
3988187872032603905,2599.76167062,-331.91980195,5238,140.21688057231768,79.0
3988205565930333696,3283.93800993,-217.51980264,371,2508.4978576549865,60.0
3991414786174551297,1787.98771569,-98.71244296,311,877.3310540054663,112.0
3993014919980212480,3078.66301039,-202.66339363,695,956.0717762440287,65.0
